ID,isFreq,isVar,clickNum,time,timePeriod,isCorrect,onSwimmer,isDuringDrowning,onDiver,clickDelay,expression,swimmerStill,swimmerX,swimmerY,StuckToWalls,,,,,,,,,,
9,0,1,16,1166.31262445449,End,True,True,True,False,3.20975542068481,2,True,70,387,1,,,,,,,,,,
9,0,1,0,1.76572918891906,Initial,False,True,False,True,,1,False,493,492,1,,,,,,,,,,
9,0,1,2,7.53168678283691,Initial,False,True,False,True,,1,False,666,429,1,,,,,,,,,,
9,0,1,3,8.95389556884765,Initial,False,True,False,True,,1,True,320,330,1,,,,,,,,,,
9,0,1,4,17.9546453952789,Initial,False,True,False,False,,0,True,1130,425,1,,,,,,,,,,
9,0,1,5,25.9753205776214,Initial,False,True,False,False,,0,False,769,294,1,,,,,,,,,,
9,0,1,12,919.655187606811,Condition,False,False,True,False,,,,,,1,,,,,,,,,,
10,0,1,14,1084.31445908546,End,True,True,True,False,1.25488305091857,5,True,848,502,0,,,,,,,,,,
10,0,1,6,323.82475399971,Condition,True,True,True,False,1.74082493782043,5,False,245,585,0,,,,,,,,,,
10,0,1,9,651.773073196411,Condition,True,True,True,False,1.74704718589782,7,False,78,190,0,,,,,,,,,,
10,0,1,2,65.3959422111511,Initial,True,True,True,False,2.30523800849914,3,True,599,353,0,,,,,,,,,,
10,0,1,4,101.051974058151,Initial,True,True,True,False,2.94045996665954,4,True,130,301,0,,,,,,,,,,
10,0,1,11,922.14,Condition,True,True,True,False,4.07760787010192,5,False,403,594,0,,,,,,,,,,
10,0,1,8,450.708544015884,Condition,True,True,True,False,4.62067890167236,3,True,365,279,0,,,,,,,,,,
10,0,1,13,1042.95563602447,End,True,True,True,False,4.88903188705444,3,False,711,229,0,,,,,,,,,,
10,0,1,5,179.248316049575,Condition,True,True,True,False,5.16506886482238,4,False,270,181,0,,,,,,,,,,
10,0,1,1,11.3989222049713,Initial,True,True,True,False,5.34266400337219,4,False,574,520,0,,,,,,,,,,
10,0,1,16,1170.60020399093,End,True,True,True,False,7.48737382888793,7,False,1013,540,0,,,,,,,,,,
